participant,list,rep,trial,phase,jitter,max_alpha,condition,flip,alpha,vbl_expected,vbl_realized,missed
5,7,2,11,noise,5,1,Not Studied,96,1,NaN,NaN,NaN
5,7,2,11,noise,5,1,Not Studied,97,1,NaN,NaN,NaN
5,7,2,11,noise,5,1,Not Studied,98,1,NaN,NaN,NaN
5,7,2,11,noise,5,1,Not Studied,99,1,NaN,NaN,NaN
5,7,2,11,noise,5,1,Not Studied,100,1,NaN,NaN,NaN
5,7,2,11,noise,5,1,Not Studied,101,1,NaN,NaN,NaN
5,7,2,11,noise,5,1,Not Studied,102,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,1,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,2,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,3,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,4,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,5,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,6,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,7,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,8,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,9,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,10,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,11,0,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,12,0.025,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,13,0.05,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,14,0.075,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,15,0.1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,16,0.125,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,17,0.15,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,18,0.175,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,19,0.2,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,20,0.225,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,21,0.25,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,22,0.275,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,23,0.3,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,24,0.325,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,25,0.35,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,26,0.375,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,27,0.4,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,28,0.425,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,29,0.45,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,30,0.475,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,31,0.5,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,32,0.525,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,33,0.55,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,34,0.575,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,35,0.6,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,36,0.625,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,37,0.65,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,38,0.675,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,39,0.7,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,40,0.725,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,41,0.75,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,42,0.775,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,43,0.8,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,44,0.825,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,45,0.85,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,46,0.875,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,47,0.9,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,48,0.925,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,49,0.95,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,50,0.975,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,51,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,52,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,53,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,54,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,55,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,56,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,57,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,58,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,59,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,60,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,61,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,62,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,63,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,64,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,65,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,66,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,67,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,68,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,69,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,70,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,71,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,72,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,73,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,74,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,75,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,76,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,77,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,78,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,79,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,80,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,81,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,82,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,83,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,84,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,85,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,86,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,87,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,88,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,89,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,90,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,91,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,92,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,93,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,94,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,95,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,96,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,97,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,98,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,99,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,100,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,101,1,NaN,NaN,NaN
5,7,1,12,noise,11,1,Not Studied,102,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,1,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,2,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,3,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,4,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,5,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,6,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,7,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,8,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,9,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,10,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,11,0,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,12,0.025,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,13,0.05,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,14,0.075,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,15,0.1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,16,0.125,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,17,0.15,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,18,0.175,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,19,0.2,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,20,0.225,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,21,0.25,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,22,0.275,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,23,0.3,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,24,0.325,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,25,0.35,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,26,0.375,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,27,0.4,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,28,0.425,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,29,0.45,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,30,0.475,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,31,0.5,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,32,0.525,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,33,0.55,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,34,0.575,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,35,0.6,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,36,0.625,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,37,0.65,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,38,0.675,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,39,0.7,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,40,0.725,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,41,0.75,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,42,0.775,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,43,0.8,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,44,0.825,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,45,0.85,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,46,0.875,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,47,0.9,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,48,0.925,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,49,0.95,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,50,0.975,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,51,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,52,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,53,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,54,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,55,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,56,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,57,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,58,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,59,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,60,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,61,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,62,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,63,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,64,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,65,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,66,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,67,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,68,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,69,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,70,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,71,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,72,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,73,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,74,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,75,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,76,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,77,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,78,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,79,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,80,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,81,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,82,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,83,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,84,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,85,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,86,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,87,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,88,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,89,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,90,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,91,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,92,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,93,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,94,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,95,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,96,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,97,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,98,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,99,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,100,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,101,1,NaN,NaN,NaN
5,7,2,12,noise,11,1,Not Studied,102,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,1,0,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,2,0,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,3,0,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,4,0,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,5,0,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,6,0,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,7,0,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,8,0,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,9,0.025,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,10,0.05,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,11,0.075,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,12,0.1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,13,0.125,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,14,0.15,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,15,0.175,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,16,0.2,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,17,0.225,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,18,0.25,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,19,0.275,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,20,0.3,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,21,0.325,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,22,0.35,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,23,0.375,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,24,0.4,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,25,0.425,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,26,0.45,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,27,0.475,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,28,0.5,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,29,0.525,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,30,0.55,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,31,0.575,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,32,0.6,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,33,0.625,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,34,0.65,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,35,0.675,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,36,0.7,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,37,0.725,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,38,0.75,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,39,0.775,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,40,0.8,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,41,0.825,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,42,0.85,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,43,0.875,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,44,0.9,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,45,0.925,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,46,0.95,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,47,0.975,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,48,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,49,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,50,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,51,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,52,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,53,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,54,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,55,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,56,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,57,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,58,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,59,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,60,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,61,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,62,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,63,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,64,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,65,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,66,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,67,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,68,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,69,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,70,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,71,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,72,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,73,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,74,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,75,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,76,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,77,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,78,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,79,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,80,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,81,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,82,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,83,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,84,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,85,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,86,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,87,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,88,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,89,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,90,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,91,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,92,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,93,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,94,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,95,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,96,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,97,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,98,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,99,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,100,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,101,1,NaN,NaN,NaN
5,7,1,13,noise,8,1,CFS,102,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,1,0,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,2,0,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,3,0,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,4,0,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,5,0,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,6,0,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,7,0,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,8,0,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,9,0.025,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,10,0.05,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,11,0.075,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,12,0.1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,13,0.125,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,14,0.15,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,15,0.175,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,16,0.2,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,17,0.225,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,18,0.25,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,19,0.275,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,20,0.3,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,21,0.325,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,22,0.35,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,23,0.375,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,24,0.4,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,25,0.425,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,26,0.45,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,27,0.475,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,28,0.5,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,29,0.525,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,30,0.55,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,31,0.575,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,32,0.6,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,33,0.625,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,34,0.65,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,35,0.675,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,36,0.7,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,37,0.725,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,38,0.75,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,39,0.775,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,40,0.8,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,41,0.825,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,42,0.85,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,43,0.875,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,44,0.9,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,45,0.925,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,46,0.95,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,47,0.975,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,48,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,49,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,50,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,51,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,52,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,53,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,54,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,55,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,56,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,57,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,58,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,59,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,60,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,61,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,62,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,63,1,NaN,NaN,NaN
5,7,2,13,noise,8,1,CFS,64,1,NaN,NaN,NaN
